x,conversion
1.68E-01,9.94E-13
2.93E-01,1.79E-12
4.50E-01,2.63E-12
5.10E-01,2.80E-12
5.48E-01,3.17E-12
7.04E-01,3.92E-12
1.25E+00,6.37E-12
1.58E+00,7.20E-12
2.51E+00,9.43E-12
3.17E+00,1.07E-11
4.15E+00,1.07E-11
4.97E+00,1.06E-11
5.73E+00,9.61E-12
6.50E+00,9.43E-12
8.81E+00,9.04E-12
1.31E+01,8.45E-12
1.90E+01,8.29E-12
4.11E+01,8.25E-12
5.00E+01,8.61E-12
1.01E+02,8.99E-12
1.46E+02,9.50E-12
2.25E+02,1.05E-11
3.99E+02,1.15E-11
5.41E+02,1.18E-11
7.47E+02,1.18E-11
1.17E+03,1.16E-11
1.73E+03,1.15E-11
2.27E+03,1.16E-11
3.81E+03,1.27E-11
4.90E+03,1.32E-11
6.29E+03,1.31E-11
7.80E+03,1.25E-11
1.02E+04,1.23E-11
1.34E+04,1.25E-11
1.66E+04,1.28E-11
2.05E+04,1.36E-11